station_id,in_degree,out_degree,pagerank,betweenness,short_name,name,capacity,region_id
JC097,760,771,0.006210686410670946,64.6927280182809,JC097,York St & Marin Blvd,18,70
JC057,828,824,0.006167056987316091,306.9481203780077,JC057,Riverview Park,18,70
JC027,783,782,0.006085788503478813,16.826661832727275,JC027,Jersey & 6th St,14,70
JC034,763,759,0.006010273231034882,16.015884826520285,JC034,Christ Hospital,22,70
JC038,755,730,0.005938890014942407,135.9737352657935,JC038,Essex Light Rail,22,70
JC118,672,650,0.0058682255071376924,111.9136764678209,JC118,Pacific Ave & Communipaw Ave,18,70
HB404,834,850,0.005742657882352981,5.22959481745183,,,,
JC078,670,661,0.005632194689201941,99.83270378150299,JC078,Lafayette Park,14,70
JC024,681,691,0.005617448410809702,23.413064060114156,JC024,Pershing Field,18,70
JC095,573,564,0.005498565650506462,100.31408822683179,JC095,Bergen Ave,14,70
JC022,656,810,0.005335007470821257,112.20768675289307,JC022,Oakland Ave,26,70
JC093,538,610,0.005223348944064482,11.548361081321294,JC093,Fairmount Ave,18,70
JC084,510,505,0.004893440865511886,18.73149789787678,JC084,Communipaw & Berry Lane,14,70
JC117,493,487,0.004452958315644963,58.55798195669711,JC117,Dr. Lena Edwards Park,12,70
JC077,421,414,0.004341357766148807,12.295297728026865,JC077,Astor Place,14,70
JC065,398,430,0.004312884373561765,96.74125957013477,JC065,Dey St,18,70
JC094,374,401,0.004222470808308546,6.9636207589228905,JC094,Glenwood Ave,18,70
JC059,483,512,0.004121187335471343,112.53906593587625,JC059,Heights Elevator,18,70
JC018,355,378,0.003877469453038978,9.364631059696947,JC018,5 Corners Library,18,70
JC051,266,267,0.0036667102448073646,9.203677728729112,JC051,Union St,18,70
JC080,322,364,0.003565177978495207,7.05915592880471,JC080,Leonard Gordon Park,14,70
JC124,188,186,0.003128617578878844,6.606993659628973,JC124,West Side Ave Light Rail,21,70
JC108,170,168,0.0029584195973807433,7.511405319341933,JC108,Bergen Ave & Stegman St,19,70
JC123,168,172,0.002925986728621511,5.0899280804085905,JC123,Carteret Ave & Arlington Ave,14,70
JC063,180,184,0.0028009624308241486,4.249218490035889,JC063,Jackson Square,18,70
JC120,185,236,0.00268649836198289,2.7426759265329417,JC120,Arlington Ave & Bramhall Ave,18,70
JC131,100,81,0.002547047665960589,33.89649726916525,JC131,West Side Ave & Stegman Pkwy,18,70
JC122,119,129,0.0023480512850988506,5.477593082754535,JC122,Union St & Bergen Ave,15,70
JC119,82,79,0.0021057785744533456,0.5928517837058537,JC119,Garfield Light Rail,16,70
