name,short_name,station_id,lon,lat,region_id,capacity
W 192 St & University Ave,8639.01,bdc116cd-4d63-4693-846c-ec5073314007,-73.901942,40.866899,71,21
Greenwich St & Perry St,5922.04,7e70b65e-00c1-40d5-984d-17232a4ee05e,-74.00697,40.73498,71,45
Sterling St & Bedford Ave,3665.06,981f1311-004f-41c3-ba5b-3679f78aeb70,-73.9569115,40.6627059,71,19
82 St & 30 Ave,6748.04,1828967499459705054,-73.88632,40.76109,71,19
Frederick Douglass Blvd & W 112 St,7631.23,46bdd925-fb6c-4654-85d8-e0db4da62abf,-73.957145,40.801694,71,37
Steinway St & 28 Ave,6915.02,08bf2fe0-219d-48cd-87c5-6163b3a2eafd,-73.9136695,40.7656251,71,25
Prospect Park SW & Greenwood Ave,3385.06,c0ce2a38-04f5-4333-8818-2a3faa84f214,-73.972573,40.652563,71,30
Davis St & Jackson Ave,6278.05,1882736243099681438,-73.945661,40.745627,71,34
34 St & 35 Ave,6605.08,f6143531-4a16-4aac-9b55-573ef7ef162e,-73.9262231,40.7569332,71,21
Bedford Ave & Albemarle Rd,3256.04,1817432346178415570,-73.9556,40.64796,71,21
River Ter & Warren St,5368.03,a6492ad5-d13e-48b0-a0d5-08e60ad93e53,-74.01587963104248,40.71759894980997,71,69
Sheridan Ave & E 172 St,8229.04,cb4926e6-0a79-4902-80ee-d365fbf42aec,-73.911479,40.840494,71,24
E 4 St & 2 Ave,5593.04,66dc176f-0aca-11e7-82f6-3863bb44ef7c,-73.98978041,40.7262807,71,78
36 Ave & 10 St,6737.03,822d96e8-fb6c-463a-b866-aec9e408ad5e,-73.9411265,40.7614376,71,19
E 6 St & 2 Ave,5669.12,3edec530-4791-4872-8912-2a2397a903a4,-73.98840844631195,40.727378693232225,71,69
Cypress Hills St & Otto Rd,4904.03,4956ad8b-06d6-4af4-bcc8-735c45439608,-73.89288,40.70204,71,19
Bailey Ave & W 193 St,8676.01,3fed8016-0be0-47f5-8663-2e850ec47288,-73.90678,40.87069,71,23
21 St & Queens Plaza North,6471.02,66dd3cb4-0aca-11e7-82f6-3863bb44ef7c,-73.94335788,40.75325964,71,35
Van Cortlandt Park S & Dickinson Ave,8859.03,1861681959015615218,-73.88781,40.88435,71,25
34 Ave & 74 St,6451.07,1834145204469569922,-73.89236,40.75297,71,25
Waldron St & 108 St,6020.02,1849010295160437584,-73.8526,40.73916,71,20
Ash St & Manhattan Ave,6019.04,1786686999403592506,-73.954867,40.738095,71,31
Jerome Ave & W 184 St,8550.01,fcb1c3a3-04b6-45cf-bc9a-deb71198804e,-73.902541,40.860814,71,20
Dyckman St & 10 Ave,8507.02,f0115d11-c678-4274-8bb7-d486dbb63361,-73.9230939745903,40.85890447538412,71,19
